0,0,5.34,5.34,5.34
0,1,5.46,5.46,5.46
0,2,5.53,5.53,5.53
0,3,5.61,5.61,5.61
0,4,5.24,5.24,5.24
0,5,5.17,5.17,5.17
0,6,5.07,5.07,5.07
0,7,5.7,5.7,5.7
0,8,4.98,4.98,4.98
0,9,5.44,5.44,5.44
0,10,5.19,5.19,5.19
0,11,6.16,6.16,6.16
0,12,4.36,4.36,4.36
0,13,7.34,7.34,7.34
0,14,2.94,2.94,2.94
0,15,8.41,8.41,8.41
0,16,1.42,1.42,1.42
0,17,8.83,8.83,8.83
0,18,0.92,0.92,0.92
0,19,8.86,8.86,8.86
0,20,0.89,0.89,0.89
0,21,8.69,8.69,8.69
0,22,1.02,1.02,1.02
0,23,5.77,5.77,5.77
0,24,4.68,4.68,4.68
0,25,5.81,5.81,5.81
0,26,4.33,4.33,4.33
0,27,5.99,5.99,5.99
0,28,3.94,3.94,3.94
0,29,5.77,5.77,5.77
0,30,3.72,3.72,3.72
0,31,6.79,6.79,6.79
0,32,4.53,4.53,4.53
1,0,5.34,5.34,5.34
1,1,5.46,5.46,5.46
1,2,5.53,5.53,5.53
1,3,5.61,5.61,5.61
1,4,5.24,5.24,5.24
1,5,5.17,5.17,5.17
1,6,5.08,5.08,5.08
1,7,5.69,5.69,5.69
1,8,4.98,4.98,4.98
1,9,5.44,5.44,5.44
1,10,5.19,5.19,5.19
1,11,6.16,6.16,6.16
1,12,4.36,4.36,4.36
1,13,7.34,7.34,7.34
1,14,2.94,2.94,2.94
1,15,8.42,8.42,8.42
1,16,1.39,1.39,1.39
1,17,8.83,8.83,8.83
1,18,0.91,0.91,0.91
1,19,8.86,8.86,8.86
1,20,0.87,0.87,0.87
1,21,8.7,8.7,8.7
1,22,1.01,1.01,1.01
1,23,5.77,5.77,5.77
1,24,4.69,4.69,4.69
1,25,5.8,5.8,5.8
1,26,4.33,4.33,4.33
1,27,5.99,5.99,5.99
1,28,3.94,3.94,3.94
1,29,5.8,5.8,5.8
1,30,3.72,3.72,3.72
1,31,6.8,6.8,6.8
1,32,4.53,4.53,4.53
2,0,5.34,5.34,5.34
2,1,5.46,5.46,5.46
2,2,5.53,5.53,5.53
2,3,5.6,5.6,5.6
2,4,5.24,5.24,5.24
